Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds)
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,700.0,280.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,700.0,350.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600.0,60.0,[1514.5327169274537],"[999, 1999]",,,00:00:08,8.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600.0,120.0,[1514.5327169274537],"[999, 1999]",,,00:00:08,8.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600.0,180.0,[1514.5327169274537],"[999, 1999]",,,00:00:08,8.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600.0,240.0,[1514.5327169274537],"[999, 1999]",,,00:00:08,8.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600.0,300.0,[1514.5327169274537],"[999, 1999]",,,00:00:08,8.0
ProDrift,Ostovar,Atomic_Substitute_output_Substitute_5,50.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:06:03,363.0
Bose J,Ostovar,Nested_ROI_output_ROI_2,500.0,2.0,,,,,,,,,,"[958, 1936]","[999, 1999]",1.0,52.0,00:26:09,1569.0
Bose WC,Ostovar,Nested_ROI_output_ROI_2,500.0,2.0,,,,,,,,,,[2040],"[999, 1999]",0.6666666666666666,41.0,00:27:29,1649.0
ProDrift,Ostovar,Atomic_Substitute_output_Substitute_5,150.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:06:13,373.0
ProDrift,Ceravolo,sudden_trace_noise10_1000_cp,100.0,2.0,,,,,,,,,,[460],[499],1.0,39.0,00:00:08,8.0
Earth Mover's Distance,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,200.0,2.0,,,,,,,,,,"[952, 1962, 2316, 2564]","[999, 1999]",0.6666666666666666,42.0,00:17:29,1049.0
ProDrift,Ostovar,Atomic_Substitute_output_Substitute_5,200.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:06:33,393.0
Earth Mover's Distance,Ostovar,Composite_RIO_output_RIO_2,400.0,2.0,,,,,,,,,,"[950, 1944]","[999, 1999]",1.0,52.0,00:38:31,2311.0
ProDrift,Ceravolo,sudden_trace_noise0_1000_OIR,100.0,2.0,,,,,,,,,,[444],[499],1.0,55.0,00:00:39,39.0
ProDrift,Ostovar,Atomic_Loop_output_Loop,250.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:11:47,707.0
Bose J,Ostovar,Atomic_SerialMove_output_SerialMove_2,600.0,2.0,,,,,,,,,,"[1458, 2230]","[999, 1999]",,,00:27:45,1665.0
Bose WC,Ostovar,Atomic_SerialMove_output_SerialMove_2,600.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:32:22,1942.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_re,500.0,2.0,,,,,,,,,,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,,,,,,,,400.0,40.0,[1506.6006006006005],"[999, 1999]",,,00:00:05,5.0
Zheng DBSCAN,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,,,,,,,,400.0,80.0,[1506.6006006006005],"[999, 1999]",,,00:00:05,5.0
Zheng DBSCAN,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,,,,,,,,400.0,120.0,[1506.6006006006005],"[999, 1999]",,,00:00:05,5.0
Zheng DBSCAN,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,,,,,,,,400.0,160.0,[1506.6006006006005],"[999, 1999]",,,00:00:05,5.0
Zheng DBSCAN,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,,,,,,,,400.0,200.0,[1506.6006006006005],"[999, 1999]",,,00:00:05,5.0
ProDrift,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,100.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:06:36,396.0
ProDrift,Ceravolo,sudden_trace_noise15_1000_lp,200.0,2.0,,,,,,,,,,[446],[499],1.0,53.0,00:00:20,20.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,,,,,,,400.0,40.0,[449.5],[499],1.0,49.5,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,,,,,,,400.0,80.0,[449.5],[499],1.0,49.5,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,,,,,,,400.0,120.0,[449.5],[499],1.0,49.5,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,,,,,,,400.0,160.0,[449.5],[499],1.0,49.5,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,,,,,,,400.0,200.0,[449.5],[499],1.0,49.5,00:00:00,0.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise20_1000_RIO,100.0,2.0,,,,,,,,,,[],[499],,,00:00:02,2.0
ProDrift,Ceravolo,sudden_trace_noise20_1000_RIO,100.0,2.0,,,,,,,,,,[452],[499],1.0,47.0,00:00:08,8.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_re,200.0,2.0,,,,,,,,,,[446],[499],1.0,53.0,00:00:01,1.0
ProDrift,Ceravolo,sudden_trace_noise0_1000_cf,150.0,2.0,,,,,,,,,,[414],[499],1.0,85.0,00:00:10,10.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_re,,,,,,,,,,400.0,40.0,[447.5],[499],1.0,51.5,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_re,,,,,,,,,,400.0,80.0,[447.5],[499],1.0,51.5,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_re,,,,,,,,,,400.0,120.0,[447.5],[499],1.0,51.5,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_re,,,,,,,,,,400.0,160.0,[447.5],[499],1.0,51.5,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_re,,,,,,,,,,400.0,200.0,[447.5],[499],1.0,51.5,00:00:00,0.0
Bose J,Ceravolo,sudden_trace_noise15_1000_OIR,500.0,2.0,,,,,,,,,,[],[499],,,00:00:08,8.0
Bose WC,Ceravolo,sudden_trace_noise15_1000_OIR,500.0,2.0,,,,,,,,,,[],[499],,,00:00:04,4.0
Bose J,Ostovar,Atomic_Skip_output_Skip_2,600.0,2.0,,,,,,,,,,"[944, 1948]","[999, 1999]",1.0,53.0,00:26:43,1603.0
Bose WC,Ostovar,Atomic_Skip_output_Skip_2,600.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:28:15,1695.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise5_1000_cd,100.0,2.0,,,,,,,,,,[],[499],,,00:00:01,1.0
ProDrift,Ceravolo,sudden_trace_noise20_1000_lp,200.0,2.0,,,,,,,,,,[454],[499],1.0,45.0,00:00:15,15.0
Bose J,Ceravolo,sudden_trace_noise0_1000_OIR,500.0,2.0,,,,,,,,,,[],[499],,,00:00:06,6.0
Bose WC,Ceravolo,sudden_trace_noise0_1000_OIR,500.0,2.0,,,,,,,,,,[],[499],,,00:00:04,4.0
Earth Mover's Distance,Ostovar,Composite_RIO_output_RIO_5,400.0,2.0,,,,,,,,,,"[946, 1944]","[999, 1999]",1.0,54.0,00:38:44,2324.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_rp,,,,,,,,,,400.0,40.0,[449.0],[499],1.0,50.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_rp,,,,,,,,,,400.0,80.0,[449.0],[499],1.0,50.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_rp,,,,,,,,,,400.0,120.0,[449.0],[499],1.0,50.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_rp,,,,,,,,,,400.0,160.0,[449.0],[499],1.0,50.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_rp,,,,,,,,,,400.0,200.0,[449.0],[499],1.0,50.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_rp,,,,,,,,,,400.0,40.0,[449.0],[499],1.0,50.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_rp,,,,,,,,,,400.0,80.0,[449.0],[499],1.0,50.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_rp,,,,,,,,,,400.0,120.0,[449.0],[499],1.0,50.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_rp,,,,,,,,,,400.0,160.0,[449.0],[499],1.0,50.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_rp,,,,,,,,,,400.0,200.0,[449.0],[499],1.0,50.0,00:00:00,0.0
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO,,,,,,,,,,700.0,70.0,"[937.1428571428571, 1939.5]","[999, 1999]",1.0,60.678571428571445,00:00:06,6.0
Zheng DBSCAN,Ostovar,Composite_RIO_output_RIO,,,,,,,,,,700.0,140.0,"[937.1428571428571, 1939.5]","[999, 1999]",1.0,60.678571428571445,00:00:06,6.0
