Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds)
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,,,,,,,,,,800.0,80.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,,,,,,,,,,800.0,160.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,,,,,,,,,,800.0,240.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,,,,,,,,,,800.0,320.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise15_1000_cd,,,,,,,,,,800.0,400.0,[],[499],,,00:00:00,0.0
ProDrift,Ostovar,Composite_RIO_output_RIO,200.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:11:09,669.0
Earth Mover's Distance,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,600.0,2.0,,,,,,,,,,"[952, 1948]","[999, 1999]",1.0,49.0,01:04:57,3897.0
Zheng DBSCAN,Bose,bose_log,,,,,,,,,,500.0,50.0,"[579.0, 651.0, 1222.7, 1406.25, 1746.0, 1798.5, 1882.0, 1991.0, 2072.0, 2152.0, 2231.0, 2353.0, 2540.0, 2956.5, 3065.5, 3144.0, 3395.0, 3607.714285714286, 3733.0, 3799.0, 3999.1666666666665, 4129.0, 4245.0, 4491.0, 4808.5, 5035.5, 5098.0, 5235.5, 5319.833333333333, 5456.8, 5634.0]","[1199, 2399, 3599, 4799]",0.2285714285714286,21.978571428571456,00:00:01,1.0
Zheng DBSCAN,Bose,bose_log,,,,,,,,,,500.0,100.0,"[615.0, 1275.142857142857, 1806.25, 2103.6, 2353.0, 2540.0, 3068.0, 3395.0, 3642.8888888888887, 4095.846153846154, 4491.0, 4808.5, 5056.333333333333, 5286.1, 5456.8, 5634.0]","[1199, 2399, 3599, 4799]",0.4,43.88293650793645,00:00:01,1.0
Zheng DBSCAN,Bose,bose_log,,,,,,,,,,500.0,150.0,"[615.0, 1275.142857142857, 2009.6, 2540.0, 3068.0, 3395.0, 3910.5454545454545, 4491.0, 4808.5, 5295.222222222223, 5634.0]","[1199, 2399, 3599, 4799]",0.3999999999999999,75.54761904761904,00:00:01,1.0
Zheng DBSCAN,Bose,bose_log,,,,,,,,,,500.0,200.0,"[615.0, 1275.142857142857, 2057.818181818182, 3068.0, 3888.1304347826085, 4491.0, 4808.5, 5313.0526315789475]","[1199, 2399, 3599, 4799]",0.3333333333333333,42.82142857142856,00:00:01,1.0
Zheng DBSCAN,Bose,bose_log,,,,,,,,,,500.0,250.0,"[615.0, 1275.142857142857, 2057.818181818182, 3746.40625, 5225.304347826087]","[1199, 2399, 3599, 4799]",0.4444444444444445,111.77455357142856,00:00:01,1.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_IRO,,,,,,,,,,800.0,80.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_IRO,,,,,,,,,,800.0,160.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_IRO,,,,,,,,,,800.0,240.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_IRO,,,,,,,,,,800.0,320.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_IRO,,,,,,,,,,800.0,400.0,[],[499],,,00:00:00,0.0
Bose J,Ceravolo,sudden_trace_noise15_1000_cb,400.0,2.0,,,,,,,,,,[],[499],,,00:00:14,14.0
Bose WC,Ceravolo,sudden_trace_noise15_1000_cb,400.0,2.0,,,,,,,,,,[],[499],,,00:00:10,10.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_IOR,400.0,2.0,,,,,,,,,,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_pm,,,,,,,,,,600.0,60.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_pm,,,,,,,,,,600.0,120.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_pm,,,,,,,,,,600.0,180.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_pm,,,,,,,,,,600.0,240.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_pm,,,,,,,,,,600.0,300.0,[],[499],,,00:00:00,0.0
Earth Mover's Distance,Ostovar,Composite_OIR_output_OIR,600.0,2.0,,,,,,,,,,"[934, 1934]","[999, 1999]",1.0,65.0,00:50:23,3023.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_lp,400.0,2.0,,,,,,,,,,[],[499],,,00:00:04,4.0
ProDrift,Ceravolo,sudden_trace_noise0_1000_cd,250.0,2.0,,,,,,,,,,[],[499],,,00:00:06,6.0
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI_2,,,,,,,,,,600.0,60.0,[1514.3565140845071],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI_2,,,,,,,,,,600.0,120.0,[1514.3565140845071],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI_2,,,,,,,,,,600.0,180.0,[1514.3565140845071],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI_2,,,,,,,,,,600.0,240.0,[1514.3565140845071],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_ROI_output_ROI_2,,,,,,,,,,600.0,300.0,[1514.3565140845071],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,,,,,,,,700.0,70.0,[1488.203237410072],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,,,,,,,,700.0,140.0,[1488.203237410072],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,,,,,,,,700.0,210.0,[1488.203237410072],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,,,,,,,,700.0,280.0,[1488.203237410072],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,,,,,,,,700.0,350.0,[1488.203237410072],"[999, 1999]",,,00:00:07,7.0
Bose J,Ostovar,Nested_IOR_output_IOR_5,400.0,2.0,,,,,,,,,,"[946, 2006]","[999, 1999]",1.0,30.0,00:33:49,2029.0
Bose WC,Ostovar,Nested_IOR_output_IOR_5,400.0,2.0,,,,,,,,,,"[946, 1964]","[999, 1999]",1.0,44.0,00:34:21,2061.0
Earth Mover's Distance,Ostovar,Atomic_SerialMove_output_SerialMove_2,400.0,2.0,,,,,,,,,,"[952, 1944]","[999, 1999]",1.0,51.0,00:40:49,2449.0
Bose J,Ceravolo,sudden_trace_noise5_1000_pl,300.0,2.0,,,,,,,,,,[],[499],,,00:00:25,25.0
Bose WC,Ceravolo,sudden_trace_noise5_1000_pl,300.0,2.0,,,,,,,,,,[],[499],,,00:00:17,17.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,,,,,,,,,,300.0,30.0,"[941.4285714285714, 1934.7777777777778]","[999, 1999]",1.0,60.89682539682536,00:00:03,3.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,,,,,,,,,,300.0,60.0,"[941.4285714285714, 1934.7777777777778]","[999, 1999]",1.0,60.89682539682536,00:00:03,3.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,,,,,,,,,,300.0,90.0,"[941.4285714285714, 1934.7777777777778]","[999, 1999]",1.0,60.89682539682536,00:00:03,3.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,,,,,,,,,,300.0,120.0,"[941.4285714285714, 1934.7777777777778]","[999, 1999]",1.0,60.89682539682536,00:00:03,3.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,,,,,,,,,,300.0,150.0,"[941.4285714285714, 1934.7777777777778]","[999, 1999]",1.0,60.89682539682536,00:00:03,3.0
ProDrift,Ceravolo,sudden_trace_noise5_1000_cb,100.0,2.0,,,,,,,,,,[],[499],,,00:00:09,9.0
ProDrift,Ostovar,Nested_IOR_output_IOR,50.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:24:45,1485.0
Bose J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,200.0,2.0,,,,,,,,,,"[710, 956, 1226, 1500, 1928]","[999, 1999]",0.5714285714285715,57.0,00:19:34,1174.0
Bose WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,200.0,2.0,,,,,,,,,,"[916, 1928]","[999, 1999]",1.0,77.0,00:20:02,1202.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_sw,,,,,,,,,,800.0,80.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_sw,,,,,,,,,,800.0,160.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_sw,,,,,,,,,,800.0,240.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_sw,,,,,,,,,,800.0,320.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_sw,,,,,,,,,,800.0,400.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap,,,,,,,,,,400.0,40.0,"[930.4444444444445, 1930.875]","[999, 1999]",1.0,68.34027777777777,00:00:05,5.0
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap,,,,,,,,,,400.0,80.0,"[930.4444444444445, 1930.875]","[999, 1999]",1.0,68.34027777777777,00:00:05,5.0
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap,,,,,,,,,,400.0,120.0,"[930.4444444444445, 1930.875]","[999, 1999]",1.0,68.34027777777777,00:00:05,5.0
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap,,,,,,,,,,400.0,160.0,"[930.4444444444445, 1930.875]","[999, 1999]",1.0,68.34027777777777,00:00:05,5.0
Zheng DBSCAN,Ostovar,Atomic_Swap_output_Swap,,,,,,,,,,400.0,200.0,"[930.4444444444445, 1930.875]","[999, 1999]",1.0,68.34027777777777,00:00:05,5.0
Bose J,Ceravolo,sudden_trace_noise5_1000_sw,400.0,2.0,,,,,,,,,,[],[499],,,00:00:20,20.0
Bose WC,Ceravolo,sudden_trace_noise5_1000_sw,400.0,2.0,,,,,,,,,,[],[499],,,00:00:09,9.0
Earth Mover's Distance,Ostovar,Nested_IOR_output_IOR_5,600.0,2.0,,,,,,,,,,"[936, 1914]","[999, 1999]",1.0,74.0,01:37:54,5874.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_lp,,,,,,,,,,700.0,70.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_lp,,,,,,,,,,700.0,140.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_lp,,,,,,,,,,700.0,210.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_lp,,,,,,,,,,700.0,280.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_lp,,,,,,,,,,700.0,350.0,[],[499],,,00:00:00,0.0
ProDrift,Ceravolo,sudden_trace_noise20_1000_rp,250.0,2.0,,,,,,,,,,[446],[499],1.0,53.0,00:00:08,8.0
Earth Mover's Distance,Ostovar,Atomic_Loop_output_Loop,300.0,2.0,,,,,,,,,,"[414, 948, 1932]","[999, 1999]",0.8,59.0,00:26:24,1584.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise10_1000_cd,500.0,2.0,,,,,,,,,,[],[499],,,00:00:00,0.0
Earth Mover's Distance,Ostovar,Composite_IOR_output_IOR_2,400.0,2.0,,,,,,,,,,"[950, 1934]","[999, 1999]",1.0,57.0,00:30:19,1819.0
ProDrift,Ceravolo,sudden_trace_noise5_1000_cf,100.0,2.0,,,,,,,,,,[444],[499],1.0,55.0,00:00:06,6.0
Bose J,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,200.0,2.0,,,,,,,,,,"[1144, 1796]","[999, 1999]",0.5,145.0,00:24:07,1447.0
Bose WC,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,200.0,2.0,,,,,,,,,,[2142],"[999, 1999]",0.6666666666666666,143.0,00:24:26,1466.0
Bose J,Ceravolo,sudden_trace_noise10_1000_OIR,300.0,2.0,,,,,,,,,,[458],[499],1.0,41.0,00:00:27,27.0
Bose WC,Ceravolo,sudden_trace_noise10_1000_OIR,300.0,2.0,,,,,,,,,,[],[499],,,00:00:20,20.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_lp,,,,,,,,,,800.0,80.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_lp,,,,,,,,,,800.0,160.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_lp,,,,,,,,,,800.0,240.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_lp,,,,,,,,,,800.0,320.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_lp,,,,,,,,,,800.0,400.0,[],[499],,,00:00:00,0.0
ProDrift,Ceravolo,sudden_trace_noise20_1000_rp,50.0,2.0,,,,,,,,,,[],[499],,,00:00:11,11.0
Bose J,Ceravolo,sudden_trace_noise10_1000_re,200.0,2.0,,,,,,,,,,[448],[499],1.0,51.0,00:00:22,22.0
Bose WC,Ceravolo,sudden_trace_noise10_1000_re,200.0,2.0,,,,,,,,,,[476],[499],1.0,23.0,00:00:19,19.0
Bose J,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,200.0,2.0,,,,,,,,,,"[344, 946, 1938]","[999, 1999]",0.8,57.0,00:24:40,1480.0
Bose WC,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,200.0,2.0,,,,,,,,,,"[1016, 1974]","[999, 1999]",1.0,21.0,00:25:08,1508.0
Bose J,Ceravolo,sudden_trace_noise5_1000_RIO,300.0,2.0,,,,,,,,,,[478],[499],1.0,21.0,00:00:20,20.0
Bose WC,Ceravolo,sudden_trace_noise5_1000_RIO,300.0,2.0,,,,,,,,,,[],[499],,,00:00:16,16.0
Earth Mover's Distance,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,600.0,2.0,,,,,,,,,,"[982, 1422]","[999, 1999]",0.5,17.0,00:48:22,2902.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_sw,600.0,2.0,,,,,,,,,,[],[499],,,00:00:00,0.0
Earth Mover's Distance,Ostovar,Composite_RIO_output_RIO_5,100.0,2.0,,,,,,,,,,"[942, 1944]","[999, 1999]",1.0,56.0,00:10:29,629.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,,,,,,,,600.0,60.0,[1514.003657644477],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,,,,,,,,600.0,120.0,[1514.003657644477],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,,,,,,,,600.0,180.0,[1514.003657644477],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,,,,,,,,600.0,240.0,[1514.003657644477],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,,,,,,,,600.0,300.0,[1514.003657644477],"[999, 1999]",,,00:00:09,9.0
ProDrift,Ostovar,Nested_OIR_output_OIR_5,50.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:07:22,442.0
Bose J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,400.0,2.0,,,,,,,,,,"[478, 970, 1860]","[999, 1999]",0.8,84.0,00:24:14,1454.0
Bose WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,400.0,2.0,,,,,,,,,,"[1060, 1824]","[999, 1999]",1.0,118.0,00:27:01,1621.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,,,,,,,,400.0,40.0,[1506.9495081967214],"[999, 1999]",,,00:00:12,12.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,,,,,,,,400.0,80.0,[1506.9495081967214],"[999, 1999]",,,00:00:12,12.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,,,,,,,,400.0,120.0,[1506.9495081967214],"[999, 1999]",,,00:00:12,12.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,,,,,,,,400.0,160.0,[1506.9495081967214],"[999, 1999]",,,00:00:12,12.0
Zheng DBSCAN,Ostovar,Nested_RIO_output_RIO_2,,,,,,,,,,400.0,200.0,[1506.9495081967214],"[999, 1999]",,,00:00:12,12.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,600.0,60.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,600.0,120.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,600.0,180.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,600.0,240.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,600.0,300.0,[],[499],,,00:00:00,0.0
ProDrift,Ceravolo,sudden_trace_noise20_1000_sw,250.0,2.0,,,,,,,,,,[416],[499],1.0,83.0,00:00:08,8.0
ProDrift,Ceravolo,sudden_trace_noise20_1000_OIR,250.0,2.0,,,,,,,,,,[414],[499],1.0,85.0,00:00:30,30.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_OIR,,,,,,,,,,500.0,50.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_OIR,,,,,,,,,,500.0,100.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_OIR,,,,,,,,,,500.0,150.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_OIR,,,,,,,,,,500.0,200.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise5_1000_OIR,,,,,,,,,,500.0,250.0,[],[499],,,00:00:00,0.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_IRO,500.0,2.0,,,,,,,,,,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_sw,,,,,,,,,,300.0,30.0,[451.3333333333333],[499],1.0,47.666666666666686,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_sw,,,,,,,,,,300.0,60.0,[451.3333333333333],[499],1.0,47.666666666666686,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_sw,,,,,,,,,,300.0,90.0,[451.3333333333333],[499],1.0,47.666666666666686,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_sw,,,,,,,,,,300.0,120.0,[451.3333333333333],[499],1.0,47.666666666666686,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_sw,,,,,,,,,,300.0,150.0,[451.3333333333333],[499],1.0,47.666666666666686,00:00:00,0.0
ProDrift,Ostovar,Atomic_Substitute_output_Substitute_2,100.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:08:40,520.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,500.0,50.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,500.0,100.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,500.0,150.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,500.0,200.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,500.0,250.0,[],[499],,,00:00:00,0.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise20_1000_ROI,200.0,2.0,,,,,,,,,,[442],[499],1.0,57.0,00:00:01,1.0
ProDrift,Ostovar,Atomic_Skip_output_Skip_2,150.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:08:30,510.0
Bose J,Ceravolo,sudden_trace_noise10_1000_pm,100.0,2.0,,,,,,,,,,[],[499],,,00:00:22,22.0
Bose WC,Ceravolo,sudden_trace_noise10_1000_pm,100.0,2.0,,,,,,,,,,[],[499],,,00:00:18,18.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_lp,,,,,,,,,,300.0,30.0,[448.0],[499],1.0,51.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_lp,,,,,,,,,,300.0,60.0,[448.0],[499],1.0,51.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_lp,,,,,,,,,,300.0,90.0,[448.0],[499],1.0,51.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_lp,,,,,,,,,,300.0,120.0,[448.0],[499],1.0,51.0,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_lp,,,,,,,,,,300.0,150.0,[448.0],[499],1.0,51.0,00:00:00,0.0
Bose J,Ostovar,Nested_IRO_output_IRO_2,300.0,2.0,,,,,,,,,,"[946, 1914, 2536]","[999, 1999]",0.8,69.0,00:35:29,2129.0
Bose WC,Ostovar,Nested_IRO_output_IRO_2,300.0,2.0,,,,,,,,,,"[806, 1982, 2554]","[999, 1999]",0.8,105.0,00:37:09,2229.0
ProDrift,Ceravolo,sudden_trace_noise20_1000_re,150.0,2.0,,,,,,,,,,[430],[499],1.0,69.0,00:00:08,8.0
Bose J,Ostovar,Atomic_SerialMove_output_SerialMove,200.0,2.0,,,,,,,,,,[1458],"[999, 1999]",,,00:19:14,1154.0
Bose WC,Ostovar,Atomic_SerialMove_output_SerialMove,200.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:15:04,904.0
Earth Mover's Distance,Ostovar,Nested_IOR_output_IOR,100.0,2.0,,,,,,,,,,"[924, 1914]","[999, 1999]",1.0,80.0,00:16:22,982.0
Bose J,Ceravolo,sudden_trace_noise10_1000_IRO,100.0,2.0,,,,,,,,,,[428],[499],1.0,71.0,00:00:24,24.0
Bose WC,Ceravolo,sudden_trace_noise10_1000_IRO,100.0,2.0,,,,,,,,,,[],[499],,,00:00:21,21.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise5_1000_cb,400.0,2.0,,,,,,,,,,[],[499],,,00:00:01,1.0
ProDrift,Ostovar,Composite_IRO_output_IRO,50.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:10:27,627.0
Bose J,Ceravolo,sudden_trace_noise5_1000_lp,100.0,2.0,,,,,,,,,,[462],[499],1.0,37.0,00:00:26,26.0
Bose WC,Ceravolo,sudden_trace_noise5_1000_lp,100.0,2.0,,,,,,,,,,[492],[499],1.0,7.0,00:00:19,19.0
ProDrift,Ceravolo,sudden_trace_noise15_1000_rp,250.0,2.0,,,,,,,,,,[426],[499],1.0,73.0,00:00:07,7.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,300.0,30.0,[1512.4452133794694],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,300.0,60.0,[1512.4452133794694],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,300.0,90.0,[1512.4452133794694],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,300.0,120.0,[1512.4452133794694],"[999, 1999]",,,00:00:07,7.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,300.0,150.0,[1512.4452133794694],"[999, 1999]",,,00:00:07,7.0
Bose J,Ostovar,Nested_ORI_output_ORI,300.0,2.0,,,,,,,,,,"[936, 1930]","[999, 1999]",1.0,66.0,00:20:54,1254.0
Bose WC,Ostovar,Nested_ORI_output_ORI,300.0,2.0,,,,,,,,,,"[950, 1960]","[999, 1999]",1.0,44.0,00:18:08,1088.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise10_1000_OIR,100.0,2.0,,,,,,,,,,[446],[499],1.0,53.0,00:00:08,8.0
Zheng DBSCAN,Ostovar,Nested_IRO_output_IRO_2,,,,,,,,,,300.0,30.0,[1487.0268264840183],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_IRO_output_IRO_2,,,,,,,,,,300.0,60.0,[1487.0268264840183],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_IRO_output_IRO_2,,,,,,,,,,300.0,90.0,[1487.0268264840183],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_IRO_output_IRO_2,,,,,,,,,,300.0,120.0,[1487.0268264840183],"[999, 1999]",,,00:00:09,9.0
Zheng DBSCAN,Ostovar,Nested_IRO_output_IRO_2,,,,,,,,,,300.0,150.0,[1487.0268264840183],"[999, 1999]",,,00:00:09,9.0
ProDrift,Ceravolo,sudden_trace_noise5_1000_rp,250.0,2.0,,,,,,,,,,[436],[499],1.0,63.0,00:00:07,7.0
Earth Mover's Distance,Ostovar,Atomic_Loop_output_Loop_5,500.0,2.0,,,,,,,,,,"[956, 1932]","[999, 1999]",1.0,55.0,00:50:11,3011.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise5_1000_sw,200.0,2.0,,,,,,,,,,[448],[499],1.0,51.0,00:00:01,1.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_cd,300.0,2.0,,,,,,,,,,[],[499],,,00:00:01,1.0
ProDrift,Ceravolo,sudden_trace_noise5_1000_pm,100.0,2.0,,,,,,,,,,[456],[499],1.0,43.0,00:00:09,9.0
Bose J,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,300.0,2.0,,,,,,,,,,"[628, 1052, 1712]","[999, 1999]",0.4,53.0,00:23:54,1434.0
Bose WC,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,300.0,2.0,,,,,,,,,,[662],"[999, 1999]",,,00:26:28,1588.0
