Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),pen_scale
Martjushev ADWIN WC,Ostovar,Atomic_Skip_output_Skip_2,,,400,600,10,0.4,,,,,,[],"[999, 1999]",,,0:06:02,362,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_ROI,,,100,500,50,0.4,,,,,,[399],[499],1,100,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_ROI,,,100,500,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,400,400,,0.005,,,,,,"[1005, 2181]","[999, 1999]",1,94,0:00:19,19,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cf,,,300,600,,0.05,,,,,,[747],[499],,,0:00:13,13,
Process Graph Metrics,Ostovar,Nested_ORI_output_ORI_2,,,100,400,,0.1,,,,,,"[973, 2121]","[999, 1999]",1,74,0:00:17,17,
Martjushev ADWIN J,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,400,500,20,0.4,,,,,,[2001],"[999, 1999]",0.666666667,2,0:08:04,484,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,400,500,20,0.4,,,,,,[],"[999, 1999]",,,0:05:05,305,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_re,,,200,700,,0.05,,,,,,[522],[499],1,23,0:00:05,5,
Process Graph Metrics,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,,,300,700,,0.1,,,,,,"[1084, 2227]","[999, 1999]",0.5,85,0:01:09,69,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute,,,100,500,,0.05,,,,,,[1015],"[999, 1999]",0.666666667,16,0:01:18,78,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_cf,,,300,500,50,0.4,,,,,,[349],[499],1,150,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_cf,,,300,500,50,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip_2,,,400,400,,0.005,,,,,,[1010],"[999, 1999]",0.666666667,11,0:00:34,34,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cf,,,300,500,,0.005,,,,,,[],[499],,,0:00:26,26,
Martjushev ADWIN J,Ostovar,Composite_OIR_output_OIR_2,,,200,400,10,0.4,,,,,,"[894, 1925]","[999, 1999]",1,89.5,0:10:10,610,
Martjushev ADWIN WC,Ostovar,Composite_OIR_output_OIR_2,,,200,400,10,0.4,,,,,,[],"[999, 1999]",,,0:06:44,404,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_sw,,,400,600,10,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_sw,,,400,600,10,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_IOR,,,200,700,50,0.4,,,,,,[],[499],,,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_IOR,,,200,700,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,,,200,700,,0.005,,,,,,"[1032, 2165]","[999, 1999]",1,99.5,0:00:11,11,
Martjushev ADWIN J,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,400,600,50,0.4,,,,,,[],"[999, 1999]",,,0:08:23,503,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,400,600,50,0.4,,,,,,[],"[999, 1999]",,,0:05:25,325,
Process Graph Metrics,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,100,500,,0.1,,,,,,[],"[999, 1999]",,,0:02:45,165,
Martjushev ADWIN J,Ostovar,Atomic_Substitute_output_Substitute_5,,,400,700,50,0.4,,,,,,"[899, 2025]","[999, 1999]",1,63,0:08:29,509,
Martjushev ADWIN WC,Ostovar,Atomic_Substitute_output_Substitute_5,,,400,700,50,0.4,,,,,,[],"[999, 1999]",,,0:04:39,279,
Process Graph Metrics,Ostovar,Atomic_SerialRemoval_output_SerialRemoval,,,200,500,,0.05,,,,,,[980],"[999, 1999]",0.666666667,19,0:00:26,26,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_IRO,,,200,700,10,0.4,,,,,,[409],[499],1,90,0:00:11,11,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_IRO,,,200,700,10,0.4,,,,,,[],[499],,,0:00:07,7,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,,,200,700,,0.05,,,,,,[1075],"[999, 1999]",0.666666667,76,0:03:05,185,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_pl,,,200,500,20,0.4,,,,,,[],[499],,,0:00:05,5,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_pl,,,200,500,20,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_pm,,,300,700,,0.005,,,,,,[],[499],,,0:01:10,70,
Process Graph Metrics,Ostovar,Atomic_ParallelMove_output_ParallelMove,,,200,400,,0.1,,,,,,[],"[999, 1999]",,,0:00:16,16,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_cf,,,100,700,50,0.4,,,,,,[349],[499],1,150,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_cf,,,100,700,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_IOR,,,200,500,,0.05,,,,,,[980],[499],,,0:00:03,3,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_RIO,,,300,700,50,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_RIO,,,300,700,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip,,,300,600,,0.1,,,,,,"[1034, 2016]","[999, 1999]",1,26,0:00:22,22,
Martjushev ADWIN J,Ostovar,Atomic_Swap_output_Swap,,,400,400,50,0.4,,,,,,[],"[999, 1999]",,,0:05:43,343,
Martjushev ADWIN WC,Ostovar,Atomic_Swap_output_Swap,,,400,400,50,0.4,,,,,,[],"[999, 1999]",,,0:03:16,196,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_lp,,,300,500,,0.1,,,,,,[469],[499],1,30,0:00:01,1,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_lp,,,100,600,,0.0001,,,,,,[488],[499],1,11,0:00:03,3,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,,,200,400,,0.05,,,,,,[2015],"[999, 1999]",0.666666667,16,0:00:49,49,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cf,,,300,700,,0.05,,,,,,[747],[499],,,0:00:17,17,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cf,,,100,700,,0.05,,,,,,[747],[499],,,0:00:10,10,
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO_2,,,200,500,,0.005,,,,,,"[978, 2121]","[999, 1999]",1,71.5,0:00:25,25,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_lp,,,200,400,10,0.4,,,,,,[339],[499],1,160,0:00:10,10,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_lp,,,200,400,10,0.4,,,,,,[],[499],,,0:00:07,7,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_cf,,,400,700,,0.0001,,,,,,[795],[499],,,0:00:18,18,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_pm,,,200,600,20,0.4,,,,,,[],[499],,,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_pm,,,200,600,20,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Atomic_Loop_output_Loop,,,200,600,,0.0001,,,,,,[990],"[999, 1999]",0.666666667,9,0:00:41,41,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip_5,,,200,600,,0.005,,,,,,"[1027, 2044]","[999, 1999]",1,36.5,0:00:37,37,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_cf,,,400,500,10,0.4,,,,,,[599],[499],1,100,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_cf,,,400,500,10,0.4,,,,,,[],[499],,,0:00:03,3,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_cf,,,100,700,20,0.4,,,,,,[319],[499],1,180,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_cf,,,100,700,20,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_IRO,,,300,700,,0.005,,,,,,[511],[499],1,12,0:00:04,4,
Process Graph Metrics,Ostovar,Atomic_SerialMove_output_SerialMove_2,,,400,400,,0.005,,,,,,[],"[999, 1999]",,,0:00:20,20,
Process Graph Metrics,Ostovar,Atomic_Swap_output_Swap_2,,,100,700,,0.0001,,,,,,[2222],"[999, 1999]",,,0:00:17,17,
Martjushev ADWIN J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,400,400,10,0.4,,,,,,[],"[999, 1999]",,,0:08:09,489,
Martjushev ADWIN WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,400,400,10,0.4,,,,,,[],"[999, 1999]",,,0:05:33,333,
Martjushev ADWIN J,Ostovar,Composite_RIO_output_RIO_2,,,300,500,10,0.4,,,,,,"[919, 1950]","[999, 1999]",1,64.5,0:10:28,628,
Martjushev ADWIN WC,Ostovar,Composite_RIO_output_RIO_2,,,300,500,10,0.4,,,,,,[],"[999, 1999]",,,0:06:44,404,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_rp,,,200,600,,0.0001,,,,,,[589],[499],1,90,0:00:04,4,
Process Graph Metrics,Ostovar,Nested_IOR_output_IOR_5,,,200,400,,0.0001,,,,,,"[1021, 1796]","[999, 1999]",0.5,22,0:00:39,39,
Martjushev ADWIN J,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,,,100,700,20,0.4,,,,,,[599],"[999, 1999]",,,0:10:00,600,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,,,100,700,20,0.4,,,,,,[],"[999, 1999]",,,0:06:16,376,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_OIR,,,300,700,50,0.4,,,,,,[449],[499],1,50,0:00:10,10,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_OIR,,,300,700,50,0.4,,,,,,[],[499],,,0:00:05,5,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_sw,,,100,700,,0.05,,,,,,[150],[499],,,0:00:00,0,
Martjushev ADWIN J,Ostovar,Atomic_Swap_output_Swap,,,100,700,50,0.4,,,,,,[],"[999, 1999]",,,0:06:31,391,
Martjushev ADWIN WC,Ostovar,Atomic_Swap_output_Swap,,,100,700,50,0.4,,,,,,[],"[999, 1999]",,,0:03:10,190,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_cd,,,300,700,20,0.4,,,,,,[],[499],,,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_cd,,,300,700,20,0.4,,,,,,[],[499],,,0:00:05,5,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,,,200,600,,0.0001,,,,,,"[1045, 2060]","[999, 1999]",1,53.5,0:00:32,32,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_ROI,,,200,700,,0.05,,,,,,[472],[499],1,27,0:00:02,2,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_sw,,,400,400,,0.005,,,,,,[660],[499],1,161,0:00:00,0,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_lp,,,200,700,50,0.4,,,,,,[349],[499],1,150,0:00:10,10,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_lp,,,200,700,50,0.4,,,,,,[],[499],,,0:00:05,5,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_cf,,,300,600,20,0.4,,,,,,[319],[499],1,180,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_cf,,,300,600,20,0.4,,,,,,[],[499],,,0:00:05,5,
Process Graph Metrics,Ostovar,Atomic_Loop_output_Loop,,,100,400,,0.05,,,,,,"[974, 2122]","[999, 1999]",1,74,0:00:27,27,
Martjushev ADWIN J,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,300,700,10,0.4,,,,,,[1929],"[999, 1999]",0.666666667,70,0:10:00,600,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,300,700,10,0.4,,,,,,[],"[999, 1999]",,,0:06:41,401,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR_5,,,200,400,,0.1,,,,,,"[1042, 1937]","[999, 1999]",1,52.5,0:00:46,46,
Process Graph Metrics,Ostovar,Nested_IRO_output_IRO_5,,,300,500,,0.1,,,,,,"[931, 1900]","[999, 1999]",1,83.5,0:00:49,49,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_cd,,,100,600,50,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_cd,,,100,600,50,0.4,,,,,,[],[499],,,0:00:02,2,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cp,,,100,700,,0.05,,,,,,[1030],[499],,,0:00:47,47,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_5,,,100,600,,0.05,,,,,,"[982, 1994]","[999, 1999]",1,11,0:03:47,227,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_re,,,300,500,50,0.4,,,,,,[449],[499],1,50,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_re,,,300,500,50,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ostovar,Nested_ORI_output_ORI_2,,,300,700,,0.05,,,,,,"[1017, 2147]","[999, 1999]",1,83,0:00:32,32,
Process Graph Metrics,Ostovar,Composite_ROI_output_ROI_2,,,100,700,,0.0001,,,,,,"[1047, 2185]","[999, 1999]",1,117,0:00:52,52,
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO,,,100,500,,0.1,,,,,,"[991, 2007]","[999, 1999]",1,8,0:00:37,37,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cb,,,100,400,10,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cb,,,100,400,10,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR,,,400,400,,0.0001,,,,,,[981],"[999, 1999]",0.666666667,18,0:01:10,70,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_sw,,,400,600,,0.05,,,,,,[],[499],,,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cf,,,400,600,,0.0001,,,,,,[],[499],,,0:00:37,37,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cf,,,300,500,20,0.4,,,,,,[319],[499],1,180,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cf,,,300,500,20,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cd,,,400,700,50,0.4,,,,,,[],[499],,,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cd,,,400,700,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_sw,,,100,500,,0.0001,,,,,,[],[499],,,0:00:01,1,
Process Graph Metrics,Ostovar,Nested_IRO_output_IRO_2,,,300,600,,0.005,,,,,,"[912, 1951]","[999, 1999]",1,67.5,0:00:37,37,
Martjushev ADWIN J,Ostovar,Composite_IRO_output_IRO_5,,,300,600,20,0.4,,,,,,"[944, 1955]","[999, 1999]",1,49.5,0:10:08,608,
Martjushev ADWIN WC,Ostovar,Composite_IRO_output_IRO_5,,,300,600,20,0.4,,,,,,[],"[999, 1999]",,,0:05:48,348,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip,,,300,500,,0.005,,,,,,"[1092, 2048]","[999, 1999]",1,71,0:00:21,21,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_IOR,,,300,400,,0.05,,,,,,[1185],[499],,,0:00:11,11,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_pm,,,300,600,20,0.4,,,,,,[],[499],,,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_pm,,,300,600,20,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_OIR,,,100,500,,0.05,,,,,,[488],[499],1,11,0:00:06,6,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cb,,,100,500,,0.0001,,,,,,[650],[499],1,151,0:00:01,1,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_IRO,,,400,500,,0.0001,,,,,,[600],[499],1,101,0:00:00,0,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_cp,,,200,500,10,0.4,,,,,,[309],[499],1,190,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_cp,,,200,500,10,0.4,,,,,,[],[499],,,0:00:06,6,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,,,100,400,20,0.4,,,,,,"[909, 1930]","[999, 1999]",1,79.5,0:08:46,526,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalMove_output_ConditionalMove,,,100,400,20,0.4,,,,,,[],"[999, 1999]",,,0:04:48,288,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_pl,,,100,700,,0.05,,,,,,[],[499],,,0:00:01,1,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cd,,,100,700,20,0.4,,,,,,[],[499],,,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cd,,,100,700,20,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_re,,,100,400,10,0.4,,,,,,[449],[499],1,50,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_re,,,100,400,10,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_cp,,,400,600,,0.1,,,,,,[600],[499],1,101,0:00:00,0,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cf,,,400,500,10,0.4,,,,,,[399],[499],1,100,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cf,,,400,500,10,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_pl,,,400,400,,0.05,,,,,,[],[499],,,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_pl,,,100,600,,0.0001,,,,,,[],[499],,,0:00:01,1,
Process Graph Metrics,Ostovar,Atomic_Loop_output_Loop_5,,,300,600,,0.1,,,,,,[988],"[999, 1999]",0.666666667,11,0:01:15,75,
Process Graph Metrics,Ostovar,Composite_OIR_output_OIR_5,,,400,700,,0.1,,,,,,"[1048, 2040]","[999, 1999]",1,45,0:02:43,163,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_IOR,,,200,400,,0.05,,,,,,[570],[499],1,71,0:00:01,1,
Martjushev ADWIN J,Ostovar,Atomic_Skip_output_Skip,,,100,600,50,0.4,,,,,,"[899, 2025]","[999, 1999]",1,63,0:06:26,386,
Martjushev ADWIN WC,Ostovar,Atomic_Skip_output_Skip,,,100,600,50,0.4,,,,,,[],"[999, 1999]",,,0:03:44,224,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_pl,,,200,400,,0.05,,,,,,[],[499],,,0:00:01,1,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_rp,,,200,700,,0.05,,,,,,[555],[499],1,56,0:00:03,3,
Process Graph Metrics,Ostovar,Composite_ROI_output_ROI_2,,,200,500,,0.1,,,,,,"[989, 2132]","[999, 1999]",1,71.5,0:00:27,27,
Martjushev ADWIN J,Ostovar,Nested_ROI_output_ROI,,,300,700,10,0.4,,,,,,"[979, 1855]","[999, 1999]",1,82,0:07:18,438,
Martjushev ADWIN WC,Ostovar,Nested_ROI_output_ROI,,,300,700,10,0.4,,,,,,[],"[999, 1999]",,,0:04:50,290,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_re,,,400,500,,0.005,,,,,,[600],[499],1,101,0:00:00,0,
Martjushev ADWIN J,Ostovar,Atomic_ParallelMove_output_ParallelMove_5,,,300,600,10,0.4,,,,,,[],"[999, 1999]",,,0:13:18,798,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelMove_output_ParallelMove_5,,,300,600,10,0.4,,,,,,[],"[999, 1999]",,,0:08:28,508,
Martjushev ADWIN J,Ostovar,Nested_OIR_output_OIR,,,100,400,50,0.4,,,,,,[1899],"[999, 1999]",0.666666667,100,0:08:56,536,
Martjushev ADWIN WC,Ostovar,Nested_OIR_output_OIR,,,100,400,50,0.4,,,,,,[],"[999, 1999]",,,0:03:44,224,
Process Graph Metrics,Ostovar,Composite_OIR_output_OIR_5,,,100,600,,0.1,,,,,,[1014],"[999, 1999]",0.666666667,15,0:01:15,75,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_lp,,,400,700,20,0.4,,,,,,[399],[499],1,100,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_lp,,,400,700,20,0.4,,,,,,[],[499],,,0:00:05,5,
Process Graph Metrics,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,100,700,,0.05,,,,,,"[1110, 2045]","[999, 1999]",1,78.5,0:01:42,102,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cb,,,200,500,,0.005,,,,,,[636],[499],1,137,0:00:01,1,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cd,,,100,600,,0.0001,,,,,,[],[499],,,0:00:00,0,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_pl,,,200,700,10,0.4,,,,,,[],[499],,,0:00:10,10,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_pl,,,200,700,10,0.4,,,,,,[],[499],,,0:00:06,6,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_IOR,,,300,400,,0.0001,,,,,,[],[499],,,0:00:01,1,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_IOR,,,400,600,,0.1,,,,,,[634],[499],1,135,0:00:03,3,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_pm,,,200,600,50,0.4,,,,,,[449],[499],1,50,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_pm,,,200,600,50,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,,,400,500,,0.005,,,,,,[1148],"[999, 1999]",0.666666667,149,0:00:09,9,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,,,100,700,50,0.4,,,,,,"[699, 1750]","[999, 1999]",,,0:09:58,598,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,,,100,700,50,0.4,,,,,,[],"[999, 1999]",,,0:06:03,363,
Martjushev ADWIN J,Ostovar,Composite_IRO_output_IRO_5,,,300,500,50,0.4,,,,,,"[949, 1943]","[999, 1999]",1,53,0:10:10,610,
Martjushev ADWIN WC,Ostovar,Composite_IRO_output_IRO_5,,,300,500,50,0.4,,,,,,[],"[999, 1999]",,,0:05:58,358,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_IOR,,,300,600,,0.1,,,,,,[648],[499],1,149,0:00:00,0,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cb,,,200,600,50,0.4,,,,,,[449],[499],1,50,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cb,,,200,600,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_lp,,,200,600,,0.0001,,,,,,[519],[499],1,20,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_IOR,,,100,400,,0.05,,,,,,[570],[499],1,71,0:00:01,1,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,,,200,700,20,0.4,,,,,,"[944, 1960]","[999, 1999]",1,47,0:06:28,388,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,,,200,700,20,0.4,,,,,,[],"[999, 1999]",,,0:04:10,250,
Martjushev ADWIN J,Ostovar,Nested_RIO_output_RIO,,,400,500,50,0.4,,,,,,"[949, 1975]","[999, 1999]",1,37,0:10:32,632,
Martjushev ADWIN WC,Ostovar,Nested_RIO_output_RIO,,,400,500,50,0.4,,,,,,[],"[999, 1999]",,,0:05:06,306,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cb,,,400,500,,0.0001,,,,,,[720],[499],,,0:00:00,0,
Martjushev ADWIN J,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,100,500,20,0.4,,,,,,[],"[999, 1999]",,,0:10:21,621,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,100,500,20,0.4,,,,,,[],"[999, 1999]",,,0:05:54,354,
Process Graph Metrics,Ostovar,Composite_ROI_output_ROI_5,,,100,600,,0.1,,,,,,"[961, 2111]","[999, 1999]",1,75,0:01:29,89,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_RIO,,,400,600,,0.05,,,,,,[600],[499],1,101,0:00:00,0,
Process Graph Metrics,Ostovar,Nested_OIR_output_OIR_5,,,400,700,,0.05,,,,,,"[1068, 2136]","[999, 1999]",1,103,0:01:34,94,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval,,,300,400,,0.1,,,,,,"[1016, 2047]","[999, 1999]",1,32.5,0:00:28,28,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_IOR,,,200,700,,0.1,,,,,,[646],[499],1,147,0:00:02,2,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_sw,,,200,700,10,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_sw,,,200,700,10,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Composite_RIO_output_RIO_2,,,300,600,,0.1,,,,,,[1000],"[999, 1999]",0.666666667,1,0:00:22,22,
