Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),pen_scale
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600,120,[1514.5327169274537],"[999, 1999]",,,0:00:08,8,
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600,180,[1514.5327169274537],"[999, 1999]",,,0:00:08,8,
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600,240,[1514.5327169274537],"[999, 1999]",,,0:00:08,8,
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600,300,[1514.5327169274537],"[999, 1999]",,,0:00:08,8,
ProDrift,Ostovar,Atomic_Substitute_output_Substitute_5,50,2,,,,,,,,,,[],"[999, 1999]",,,0:06:03,363,
Bose J,Ostovar,Nested_ROI_output_ROI_2,500,2,,,,,,,,,,"[958, 1936]","[999, 1999]",1,52,0:26:09,1569,
Bose WC,Ostovar,Nested_ROI_output_ROI_2,500,2,,,,,,,,,,[2040],"[999, 1999]",0.666666667,41,0:27:29,1649,
ProDrift,Ostovar,Atomic_Substitute_output_Substitute_5,150,2,,,,,,,,,,[],"[999, 1999]",,,0:06:13,373,
ProDrift,Ceravolo,sudden_trace_noise10_1000_cp,100,2,,,,,,,,,,[460],[499],1,39,0:00:08,8,
Earth Mover's Distance,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,200,2,,,,,,,,,,"[952, 1962, 2316, 2564]","[999, 1999]",0.666666667,42,0:17:29,1049,
ProDrift,Ostovar,Atomic_Substitute_output_Substitute_5,200,2,,,,,,,,,,[],"[999, 1999]",,,0:06:33,393,
Earth Mover's Distance,Ostovar,Composite_RIO_output_RIO_2,400,2,,,,,,,,,,"[950, 1944]","[999, 1999]",1,52,0:38:31,2311,
ProDrift,Ceravolo,sudden_trace_noise0_1000_OIR,100,2,,,,,,,,,,[444],[499],1,55,0:00:39,39,
ProDrift,Ostovar,Atomic_Loop_output_Loop,250,2,,,,,,,,,,[],"[999, 1999]",,,0:11:47,707,
Bose J,Ostovar,Atomic_SerialMove_output_SerialMove_2,600,2,,,,,,,,,,"[1458, 2230]","[999, 1999]",,,0:27:45,1665,
Bose WC,Ostovar,Atomic_SerialMove_output_SerialMove_2,600,2,,,,,,,,,,[],"[999, 1999]",,,0:32:22,1942,
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_re,500,2,,,,,,,,,,[],[499],,,0:00:00,0,
Zheng DBSCAN,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,,,,,,,,400,40,[1506.6006006006005],"[999, 1999]",,,0:00:05,5,
Zheng DBSCAN,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,,,,,,,,400,80,[1506.6006006006005],"[999, 1999]",,,0:00:05,5,
Zheng DBSCAN,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,,,,,,,,400,120,[1506.6006006006005],"[999, 1999]",,,0:00:05,5,
Zheng DBSCAN,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,,,,,,,,400,160,[1506.6006006006005],"[999, 1999]",,,0:00:05,5,
Zheng DBSCAN,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,,,,,,,,400,200,[1506.6006006006005],"[999, 1999]",,,0:00:05,5,
ProDrift,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,100,2,,,,,,,,,,[],"[999, 1999]",,,0:06:36,396,
ProDrift,Ceravolo,sudden_trace_noise15_1000_lp,200,2,,,,,,,,,,[446],[499],1,53,0:00:20,20,
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,,,,,,,400,40,[449.5],[499],1,49.5,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,,,,,,,400,80,[449.5],[499],1,49.5,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,,,,,,,400,120,[449.5],[499],1,49.5,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,,,,,,,400,160,[449.5],[499],1,49.5,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,,,,,,,400,200,[449.5],[499],1,49.5,0:00:00,0,
Earth Mover's Distance,Ceravolo,sudden_trace_noise20_1000_RIO,100,2,,,,,,,,,,[],[499],,,0:00:02,2,
ProDrift,Ceravolo,sudden_trace_noise20_1000_RIO,100,2,,,,,,,,,,[452],[499],1,47,0:00:08,8,
Earth Mover's Distance,Ceravolo,sudden_trace_noise15_1000_re,200,2,,,,,,,,,,[446],[499],1,53,0:00:01,1,
ProDrift,Ceravolo,sudden_trace_noise0_1000_cf,150,2,,,,,,,,,,[414],[499],1,85,0:00:10,10,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_re,,,,,,,,,,400,40,[447.5],[499],1,51.5,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_re,,,,,,,,,,400,80,[447.5],[499],1,51.5,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_re,,,,,,,,,,400,120,[447.5],[499],1,51.5,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_re,,,,,,,,,,400,160,[447.5],[499],1,51.5,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_re,,,,,,,,,,400,200,[447.5],[499],1,51.5,0:00:00,0,
Bose J,Ceravolo,sudden_trace_noise15_1000_OIR,500,2,,,,,,,,,,[],[499],,,0:00:08,8,
Bose WC,Ceravolo,sudden_trace_noise15_1000_OIR,500,2,,,,,,,,,,[],[499],,,0:00:04,4,
Bose J,Ostovar,Atomic_Skip_output_Skip_2,600,2,,,,,,,,,,"[944, 1948]","[999, 1999]",1,53,0:26:43,1603,
Bose WC,Ostovar,Atomic_Skip_output_Skip_2,600,2,,,,,,,,,,[],"[999, 1999]",,,0:28:15,1695,
Earth Mover's Distance,Ceravolo,sudden_trace_noise5_1000_cd,100,2,,,,,,,,,,[],[499],,,0:00:01,1,
ProDrift,Ceravolo,sudden_trace_noise20_1000_lp,200,2,,,,,,,,,,[454],[499],1,45,0:00:15,15,
Bose J,Ceravolo,sudden_trace_noise0_1000_OIR,500,2,,,,,,,,,,[],[499],,,0:00:06,6,
Bose WC,Ceravolo,sudden_trace_noise0_1000_OIR,500,2,,,,,,,,,,[],[499],,,0:00:04,4,
Earth Mover's Distance,Ostovar,Composite_RIO_output_RIO_5,400,2,,,,,,,,,,"[946, 1944]","[999, 1999]",1,54,0:38:44,2324,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_rp,,,,,,,,,,400,40,[449.0],[499],1,50,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_rp,,,,,,,,,,400,80,[449.0],[499],1,50,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_rp,,,,,,,,,,400,120,[449.0],[499],1,50,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_rp,,,,,,,,,,400,160,[449.0],[499],1,50,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_rp,,,,,,,,,,400,200,[449.0],[499],1,50,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_rp,,,,,,,,,,400,40,[449.0],[499],1,50,0:00:00,0,
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_rp,,,,,,,,,,400,80,[449.0],[499],1,50,0:00:00,0,
