Algorithm,Log Source,Log,Drift Types,Detected Changepoints,Actual Changepoints for Log,Duration (Seconds),Duration (hh:mm:ss),Parameter Settings
CVDriftSuggested,dataset_100cases_30min_ABD.xes,dataset_100cases_30min_ABD.xes,duration,[35],[],0.237,00:00:00,{}
CVDriftSuggested,dataset_100cases_30min_ABD_noisy_10%.xes,dataset_100cases_30min_ABD_noisy_10%.xes,duration,[30],[],0.233,00:00:00,{}
CVDriftSuggested,dataset_100cases_30min_ABD_noisy_20%.xes,dataset_100cases_30min_ABD_noisy_20%.xes,duration,[31],[],0.241,00:00:00,{}
CVDriftSuggested,dataset_100cases_30min_ABD_noisy_5%.xes,dataset_100cases_30min_ABD_noisy_5%.xes,duration,"[31, 75]",[],0.217,00:00:00,{}
CVDriftSuggested,dataset_100cases_40min_ABD.xes,dataset_100cases_40min_ABD.xes,duration,[35],[],0.207,00:00:00,{}
CVDriftSuggested,dataset_100cases_40min_ABD_noisy_10%.xes,dataset_100cases_40min_ABD_noisy_10%.xes,duration,[31],[],0.221,00:00:00,{}
CVDriftSuggested,dataset_100cases_40min_ABD_noisy_20%.xes,dataset_100cases_40min_ABD_noisy_20%.xes,duration,[32],[],0.231,00:00:00,{}
CVDriftSuggested,dataset_100cases_40min_ABD_noisy_5%.xes,dataset_100cases_40min_ABD_noisy_5%.xes,duration,[30],[],0.229,00:00:00,{}
CVDriftSuggested,dataset_100cases_50min_ABD.xes,dataset_100cases_50min_ABD.xes,duration,"[37, 75]",[],0.203,00:00:00,{}
CVDriftSuggested,dataset_100cases_50min_ABD_noisy_10%.xes,dataset_100cases_50min_ABD_noisy_10%.xes,duration,"[30, 73]",[],0.212,00:00:00,{}
CVDriftSuggested,dataset_100cases_50min_ABD_noisy_20%.xes,dataset_100cases_50min_ABD_noisy_20%.xes,duration,"[35, 72]",[],0.242,00:00:00,{}
CVDriftSuggested,dataset_100cases_50min_ABD_noisy_5%.xes,dataset_100cases_50min_ABD_noisy_5%.xes,duration,"[35, 82]",[],0.211,00:00:00,{}
CVDriftSuggested,dataset_100cases_60min_ABD.xes,dataset_100cases_60min_ABD.xes,duration,[35],[],0.231,00:00:00,{}
CVDriftSuggested,dataset_100cases_60min_ABD_noisy_10%.xes,dataset_100cases_60min_ABD_noisy_10%.xes,duration,"[35, 72]",[],0.218,00:00:00,{}
CVDriftSuggested,dataset_100cases_60min_ABD_noisy_20%.xes,dataset_100cases_60min_ABD_noisy_20%.xes,duration,"[30, 71]",[],0.239,00:00:00,{}
